Name,Column Index,Count
CIP45ASSOC,246,7383
CIP45CERT4,247,7383
CIP45BACHL,248,7383
CIP46CERT1,249,7383
CIP46CERT2,250,7383
CIP46ASSOC,251,7383
CIP46CERT4,252,7383
CIP46BACHL,253,7383
CIP47CERT1,254,7383
CIP47CERT2,255,7383
CIP47ASSOC,256,7383
CIP47CERT4,257,7383
CIP47BACHL,258,7383
CIP48CERT1,259,7383
CIP48CERT2,260,7383
CIP48ASSOC,261,7383
CIP48CERT4,262,7383
CIP48BACHL,263,7383
CIP49CERT1,264,7383
CIP49CERT2,265,7383
CIP49ASSOC,266,7383
CIP49CERT4,267,7383
CIP49BACHL,268,7383
CIP50CERT1,269,7383
CIP50CERT2,270,7383
CIP50ASSOC,271,7383
CIP50CERT4,272,7383
CIP50BACHL,273,7383
CIP51CERT1,274,7383
CIP51CERT2,275,7383
CIP51ASSOC,276,7383
CIP51CERT4,277,7383
CIP51BACHL,278,7383
CIP52CERT1,279,7383
CIP52CERT2,280,7383
CIP52ASSOC,281,7383
CIP52CERT4,282,7383
CIP52BACHL,283,7383
CIP54CERT1,284,7383
CIP54CERT2,285,7383
CIP54ASSOC,286,7383
CIP54CERT4,287,7383
CIP54BACHL,288,7383
DISTANCEONLY,289,7383
UGDS,290,7090
UGDS_WHITE,292,7090
UGDS_BLACK,293,7090
UGDS_HISP,294,7090
UGDS_ASIAN,295,7090
UGDS_AIAN,296,7090
UGDS_NHPI,297,7090
UGDS_2MOR,298,7090
UGDS_NRA,299,7090
UGDS_UNKN,300,7090
PPTUG_EF,313,7072
CURROPER,315,7804
NPT4_PUB,316,1923
NPT4_PRIV,317,4753
NPT41_PUB,320,1918
NPT42_PUB,321,1742
NPT43_PUB,322,1669
NPT44_PUB,323,1451
NPT45_PUB,324,1263
NPT41_PRIV,325,4697
NPT42_PRIV,326,3951
NPT43_PRIV,327,3528
NPT44_PRIV,328,2823
NPT45_PRIV,329,2221
NPT4_048_PUB,340,1922
NPT4_048_PRIV,341,4729
NPT4_3075_PUB,344,1767
NPT4_3075_PRIV,345,4086
NPT4_75UP_PUB,346,1467
NPT4_75UP_PRIV,347,2978
NUM4_PUB,352,1924
NUM4_PRIV,353,4785
NUM41_PUB,356,1924
NUM42_PUB,357,1924
NUM43_PUB,358,1924
NUM44_PUB,359,1924
NUM45_PUB,360,1924
NUM41_PRIV,361,4752
NUM42_PRIV,362,4752
NUM43_PRIV,363,4752
NUM44_PRIV,364,4752
NUM45_PRIV,365,4752
COSTT4_A,376,4137
COSTT4_P,377,2541
TUITIONFEE_IN,378,4415
TUITIONFEE_OUT,379,4196
TUITIONFEE_PROG,380,2712
TUITFTE,381,7362
INEXPFTE,382,7362
AVGFACSAL,383,4654
PFTFAC,384,4127
PCTPELL,385,7063
C150_4,386,2448
C150_L4,387,3965
C150_4_POOLED,388,2472
C150_L4_POOLED,389,4018
poolyrs,390,6490
PFTFTUG1_EF,391,3686
D150_4,392,2448
D150_L4,393,3965
D150_4_POOLED,394,2472
D150_L4_POOLED,395,4018
C150_4_WHITE,396,2341
C150_4_BLACK,397,2171
C150_4_HISP,398,2173
C150_4_ASIAN,399,1880
C150_4_AIAN,400,1535
C150_4_NHPI,401,392
C150_4_2MOR,402,761
C150_4_NRA,403,1489
C150_4_UNKN,404,1750
C150_L4_WHITE,410,2073
C150_L4_BLACK,411,1894
C150_L4_HISP,412,1856
C150_L4_ASIAN,413,1466
C150_L4_AIAN,414,1325
C150_L4_NHPI,415,750
C150_L4_2MOR,416,1270
C150_L4_NRA,417,615
C150_L4_UNKN,418,1394
C200_4,424,2130
C200_L4,425,3661
D200_4,426,2130
D200_L4,427,3661
RET_FT4,428,2348
RET_FTL4,429,3920
RET_PT4,430,1468
RET_PTL4,431,2264
C200_4_POOLED,432,2160
C200_L4_POOLED,433,3794
poolyrs200,434,5954
D200_4_POOLED,435,2160
D200_L4_POOLED,436,3794
PCTFLOAN,437,7063
UG25abv,438,7031
CDR3,440,7742
RPY_3YR_RT,1365,6161
COMPL_RPY_3YR_RT,1366,2791
NONCOM_RPY_3YR_RT,1367,3062
LO_INC_RPY_3YR_RT,1368,4946
MD_INC_RPY_3YR_RT,1369,3758
HI_INC_RPY_3YR_RT,1370,1781
DEP_RPY_3YR_RT,1371,2687
IND_RPY_3YR_RT,1372,3423
PELL_RPY_3YR_RT,1373,4016
NOPELL_RPY_3YR_RT,1374,2310
FEMALE_RPY_3YR_RT,1375,3890
MALE_RPY_3YR_RT,1376,2445
FIRSTGEN_RPY_3YR_RT,1377,5109
NOTFIRSTGEN_RPY_3YR_RT,1378,5234
RPY_5YR_RT,1379,5910
COMPL_RPY_5YR_RT,1380,2486
NONCOM_RPY_5YR_RT,1381,2897
LO_INC_RPY_5YR_RT,1382,4722
MD_INC_RPY_5YR_RT,1383,3618
HI_INC_RPY_5YR_RT,1384,1512
DEP_RPY_5YR_RT,1385,2610
IND_RPY_5YR_RT,1386,2949
PELL_RPY_5YR_RT,1387,3615
NOPELL_RPY_5YR_RT,1388,2288
FEMALE_RPY_5YR_RT,1389,3736
MALE_RPY_5YR_RT,1390,2234
FIRSTGEN_RPY_5YR_RT,1391,4770
NOTFIRSTGEN_RPY_5YR_RT,1392,4935
RPY_7YR_RT,1393,5717
COMPL_RPY_7YR_RT,1394,2098
NONCOM_RPY_7YR_RT,1395,2894
LO_INC_RPY_7YR_RT,1396,4570
MD_INC_RPY_7YR_RT,1397,3379
HI_INC_RPY_7YR_RT,1398,1438
DEP_RPY_7YR_RT,1399,2583
IND_RPY_7YR_RT,1400,3023
PELL_RPY_7YR_RT,1401,3580
NOPELL_RPY_7YR_RT,1402,1958
FEMALE_RPY_7YR_RT,1403,3643
MALE_RPY_7YR_RT,1404,2473
FIRSTGEN_RPY_7YR_RT,1405,4638
NOTFIRSTGEN_RPY_7YR_RT,1406,4739
INC_PCT_LO,1407,5031
DEP_STAT_PCT_IND,1408,7246
DEP_INC_PCT_LO,1409,5841
IND_INC_PCT_LO,1410,5833
PAR_ED_PCT_1STGEN,1411,6843
INC_PCT_M1,1412,4343
INC_PCT_M2,1413,3927
INC_PCT_H1,1414,3589
INC_PCT_H2,1415,3963
DEP_INC_PCT_M1,1416,4868
DEP_INC_PCT_M2,1417,3966
DEP_INC_PCT_H1,1418,2757
DEP_INC_PCT_H2,1419,3385
IND_INC_PCT_M1,1420,4869
IND_INC_PCT_M2,1421,3967
IND_INC_PCT_H1,1422,2761
IND_INC_PCT_H2,1423,3383
PAR_ED_PCT_MS,1424,6746
PAR_ED_PCT_HS,1425,6875
PAR_ED_PCT_PS,1426,6876
APPL_SCH_PCT_GE2,1427,7163
APPL_SCH_PCT_GE3,1428,6833
APPL_SCH_PCT_GE4,1429,6344
APPL_SCH_PCT_GE5,1430,5967
DEP_INC_AVG,1431,7086
IND_INC_AVG,1432,7088
DEBT_MDN,1503,6641
GRAD_DEBT_MDN,1504,6555
WDRAW_DEBT_MDN,1505,6256
LO_INC_DEBT_MDN,1506,5879
MD_INC_DEBT_MDN,1507,5371
HI_INC_DEBT_MDN,1508,3842
DEP_DEBT_MDN,1509,4779
IND_DEBT_MDN,1510,5344
PELL_DEBT_MDN,1511,5584
NOPELL_DEBT_MDN,1512,4034
FEMALE_DEBT_MDN,1513,5405
MALE_DEBT_MDN,1514,4425
FIRSTGEN_DEBT_MDN,1515,6272
NOTFIRSTGEN_DEBT_MDN,1516,6337
DEBT_N,1517,6847
GRAD_DEBT_N,1518,6780
WDRAW_DEBT_N,1519,6625
LO_INC_DEBT_N,1520,6238
MD_INC_DEBT_N,1521,5944
HI_INC_DEBT_N,1522,4433
DEP_DEBT_N,1523,5283
IND_DEBT_N,1524,5726
PELL_DEBT_N,1525,6168
NOPELL_DEBT_N,1526,4505
FEMALE_DEBT_N,1527,5839
MALE_DEBT_N,1528,4847
FIRSTGEN_DEBT_N,1529,6528
NOTFIRSTGEN_DEBT_N,1530,6598
GRAD_DEBT_MDN10YR,1531,6555
CUML_DEBT_N,1532,6847
CUML_DEBT_P90,1533,6218
CUML_DEBT_P75,1534,6459
CUML_DEBT_P25,1535,6459
CUML_DEBT_P10,1536,6218
INC_N,1537,5354
DEP_INC_N,1538,7106
IND_INC_N,1539,7106
DEP_STAT_N,1540,5354
PAR_ED_N,1541,6882
APPL_SCH_N,1542,7356
RPY_3YR_N,1561,6393
COMPL_RPY_3YR_N,1562,4722
NONCOM_RPY_3YR_N,1563,4691
LO_INC_RPY_3YR_N,1564,5806
MD_INC_RPY_3YR_N,1565,5666
HI_INC_RPY_3YR_N,1566,4053
DEP_RPY_3YR_N,1567,4626
IND_RPY_3YR_N,1568,5249
PELL_RPY_3YR_N,1569,5637
NOPELL_RPY_3YR_N,1570,4420
FEMALE_RPY_3YR_N,1571,5444
MALE_RPY_3YR_N,1572,4163
FIRSTGEN_RPY_3YR_N,1573,6099
NOTFIRSTGEN_RPY_3YR_N,1574,6145
RPY_5YR_N,1575,6122
COMPL_RPY_5YR_N,1576,4449
NONCOM_RPY_5YR_N,1577,4547
LO_INC_RPY_5YR_N,1578,5615
MD_INC_RPY_5YR_N,1579,5351
HI_INC_RPY_5YR_N,1580,3532
DEP_RPY_5YR_N,1581,4433
IND_RPY_5YR_N,1582,4744
PELL_RPY_5YR_N,1583,5264
NOPELL_RPY_5YR_N,1584,4199
FEMALE_RPY_5YR_N,1585,5132
MALE_RPY_5YR_N,1586,3815
FIRSTGEN_RPY_5YR_N,1587,5837
NOTFIRSTGEN_RPY_5YR_N,1588,5877
RPY_7YR_N,1589,6047
COMPL_RPY_7YR_N,1590,4190
NONCOM_RPY_7YR_N,1591,4556
LO_INC_RPY_7YR_N,1592,5513
MD_INC_RPY_7YR_N,1593,5218
HI_INC_RPY_7YR_N,1594,3548
DEP_RPY_7YR_N,1595,4350
IND_RPY_7YR_N,1596,4776
PELL_RPY_7YR_N,1597,5204
NOPELL_RPY_7YR_N,1598,4234
FEMALE_RPY_7YR_N,1599,5103
MALE_RPY_7YR_N,1600,3969
FIRSTGEN_RPY_7YR_N,1601,5686
NOTFIRSTGEN_RPY_7YR_N,1602,5712
DEBT_MDN_SUPP,1708,6639
GRAD_DEBT_MDN_SUPP,1709,6355
GRAD_DEBT_MDN10YR_SUPP,1710,6355
RPY_3YR_RT_SUPP,1711,6281
LO_INC_RPY_3YR_RT_SUPP,1712,6074
MD_INC_RPY_3YR_RT_SUPP,1713,5513
HI_INC_RPY_3YR_RT_SUPP,1714,4624
COMPL_RPY_3YR_RT_SUPP,1715,5965
NONCOM_RPY_3YR_RT_SUPP,1716,5654
DEP_RPY_3YR_RT_SUPP,1717,5639
IND_RPY_3YR_RT_SUPP,1718,5901
PELL_RPY_3YR_RT_SUPP,1719,6135
NOPELL_RPY_3YR_RT_SUPP,1720,5482
FEMALE_RPY_3YR_RT_SUPP,1721,6106
MALE_RPY_3YR_RT_SUPP,1722,5169
FIRSTGEN_RPY_3YR_RT_SUPP,1723,5820
NOTFIRSTGEN_RPY_3YR_RT_SUPP,1724,5825
C150_L4_POOLED_SUPP,1725,3329
C150_4_POOLED_SUPP,1726,2372
C200_L4_POOLED_SUPP,1727,3661
C200_4_POOLED_SUPP,1728,1767
